Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,CC_Battery,Torque_Nm,Seats_Clean,Price,Power_Speed_Ratio
Ferrari,SF90 STRADALE,V8,3990 cc,963.0,340.0,2.5,"$1,100,000 ",Plug In Hyrbrid,2,800 Nm,3990.0,800.0,2.0,1100000.0,2.8323529411764707
Rolls Royce,PHANTOM,V12,6749 cc,563.0,250.0,5.3,"$460,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,460000.0,2.252
Ford,KA+,1.2L Petrol,"1,200 cc",77.5,165.0,10.5,"$12,000-$15,000",Petrol,5,100 - 140 Nm,1200.0,120.0,5.0,13500.0,0.4696969696969697
Mercedes,GT 63 S,V8,"3,982 cc",630.0,250.0,3.2,"$161,000 ",Petrol,4,900 Nm,3982.0,900.0,4.0,161000.0,2.52
Audi,AUDI R8 Gt,V10,"5,204 cc",602.0,320.0,3.6,"$253,290 ",Petrol,2,560 Nm,5204.0,560.0,2.0,253290.0,1.88125
Bmw,Mclaren 720s,V8,"3,994 cc",710.0,341.0,2.9,"$499,000 ",Petrol,2,770 Nm,3994.0,770.0,2.0,499000.0,2.0821114369501466
Aston Martin,VANTAGE F1,V8,"3,982 cc",656.0,314.0,3.6,"$193,440 ",Petrol,2,685 Nm,3982.0,685.0,2.0,193440.0,2.089171974522293
Bentley,Continental GT Azure,V8,"3,996 cc",550.0,318.0,4.0,"$311,000 ",Petrol,4,900 Nm,3996.0,900.0,4.0,311000.0,1.729559748427673
Lamborghini,VENENO ROADSTER,V12,"6,498 cc",750.0,356.0,2.9,"$4,500,000 ",Petrol,2,690 Nm,6498.0,690.0,2.0,4500000.0,2.106741573033708
Ferrari,F8 TRIBUTO,V8,"3,900 cc",710.0,340.0,2.9,"$280,000 ",Petrol,2,770 Nm,3900.0,770.0,2.0,280000.0,2.088235294117647
Ferrari,812 GTS,V12,6496 cc,789.0,340.0,2.9,"$350,000 ",Petrol,2,718 Nm,6496.0,718.0,2.0,350000.0,2.320588235294118
Ferrari,PORTOFINO,V8,"3,900 cc",592.0,320.0,3.2,"$210,000 ",Petrol,2+2,760 Nm,3900.0,760.0,4.0,210000.0,1.85
Ferrari,ROMA,V8,"3,900 cc",612.0,320.0,3.4,"$230,000 ",Petrol,2+2,760 Nm,3900.0,760.0,4.0,230000.0,1.9125
Ferrari,MONZA SP2,V12,"6,496 cc",789.0,340.0,2.9,"$1,700,000 ",Petrol,2,719 Nm,6496.0,719.0,2.0,1700000.0,2.320588235294118
Ferrari,F8 SPIDER,V8,"3,900 cc",710.0,340.0,2.9,"$280,000 ",Petrol,2,770 Nm,3900.0,770.0,2.0,280000.0,2.088235294117647
Ferrari,PORTOFINO M,V8,"3,900 cc",612.0,320.0,3.2,"$220,000 ",Petrol,2+2,760 Nm,3900.0,760.0,4.0,220000.0,1.9125
Ferrari,ROMA SPIDER,V8,"3,900 cc",612.0,320.0,3.4,"$240,000 ",Petrol,2+2,760 Nm,3900.0,760.0,4.0,240000.0,1.9125
Toyota,GR SUPRA,I4,"2,998 cc",382.0,250.0,4.1,"$53,900 ",Petrol,2,500 Nm,2998.0,500.0,2.0,53900.0,1.528
Toyota,TOYOTA 86,BOXER-4,"1,998 cc",205.0,226.0,6.4,"$27,000 ",Petrol,2+2,205 Nm,1998.0,205.0,4.0,27000.0,0.9070796460176991
Toyota,TOYOTA  GR86,BOXER-4,"2,387 cc",228.0,226.0,5.6,"$30,000 ",Petrol,4,250 Nm,2387.0,250.0,4.0,30000.0,1.008849557522124
Toyota,TOYOTA LAND CRUISER,V8,"5,663 cc",381.0,220.0,6.7,"$85,000 ",Diesel,7,500 Nm,5663.0,500.0,7.0,85000.0,1.731818181818182
